Income,CIBIL,Loan_Amount,Assets,Loan_Term,Dependents,Education,Self_Employed,Loan_Status
High,Excellent,Large,High,Medium,Few,Graduate,No,Approved
Medium,Poor,Medium,Low,Short,,Not Graduate,Yes,Rejected
High,Poor,Large,High,Long,Many,Graduate,No,Rejected
High,Poor,Large,High,Short,Many,Graduate,No,Rejected
High,Poor,Large,High,Long,Many,Not Graduate,Yes,Rejected
Medium,Poor,Medium,Medium,Medium,,Graduate,Yes,Rejected
High,Good,Large,High,Short,Many,Graduate,No,Approved
Medium,Poor,Medium,Medium,Long,Few,Graduate,Yes,Rejected
Low,Excellent,Small,Low,Long,,Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,Many,Not Graduate,No,Rejected
Low,Poor,Medium,Medium,Short,Many,Graduate,Yes,Approved
Medium,Poor,Large,High,Long,Few,Not Graduate,Yes,Rejected
Medium,Poor,Medium,Medium,Long,Many,Not Graduate,Yes,Rejected
High,Good,Large,High,Medium,Few,Graduate,Yes,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,No,Rejected
Medium,Excellent,Medium,Medium,Medium,Many,Not Graduate,No,Approved
Low,Good,Small,Low,Short,Few,Graduate,Yes,Approved
Low,Excellent,Small,Low,Medium,Many,Not Graduate,Yes,Approved
Low,Good,Medium,Low,Medium,Few,Graduate,No,Approved
Medium,Good,Medium,High,Medium,Many,Graduate,No,Approved
Medium,Poor,Large,Medium,Medium,Few,Graduate,No,Rejected
Medium,Poor,Medium,High,Long,Many,Graduate,No,Rejected
Medium,Poor,Large,High,Long,Many,Graduate,Yes,Rejected
Low,Fair,Small,Low,Short,,Not Graduate,Yes,Approved
Medium,Poor,Small,Medium,Long,,Not Graduate,No,Rejected
Low,Poor,Small,Low,Long,Many,Not Graduate,No,Rejected
High,Good,Large,High,Medium,Many,Graduate,No,Approved
Low,Good,Small,Low,Short,Many,Not Graduate,Yes,Approved
High,Poor,Large,High,Short,Many,Not Graduate,Yes,Rejected
High,Excellent,Large,High,Medium,Many,Not Graduate,Yes,Approved
High,Poor,Large,High,Medium,Few,Not Graduate,No,Rejected
Medium,Poor,Medium,Medium,Short,Few,Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Few,Not Graduate,Yes,Rejected
High,Excellent,Large,Medium,Short,Many,Not Graduate,Yes,Approved
Medium,Fair,Medium,Medium,Short,Many,Graduate,No,Approved
Low,Good,Small,Low,Short,Few,Graduate,Yes,Approved
Low,Fair,Small,Low,Long,Many,Not Graduate,No,Approved
High,Poor,Large,Medium,Short,Many,Graduate,Yes,Rejected
Medium,Excellent,Small,Low,Long,Many,Graduate,No,Approved
Low,Poor,Small,Low,Short,Many,Not Graduate,Yes,Rejected
High,Good,Medium,High,Short,Few,Graduate,No,Approved
High,Excellent,Large,High,Long,Few,Not Graduate,No,Approved
Low,Poor,Small,Low,Short,Many,Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Few,Graduate,Yes,Rejected
Medium,Excellent,Medium,Medium,Long,Many,Graduate,No,Approved
High,Poor,Large,High,Long,Many,Graduate,No,Rejected
Medium,Good,Medium,Medium,Short,Many,Not Graduate,Yes,Approved
Medium,Good,Medium,Medium,Medium,Few,Graduate,Yes,Approved
Medium,Fair,Large,Medium,Medium,Many,Not Graduate,No,Approved
High,Good,Medium,High,Long,Few,Not Graduate,Yes,Approved
High,Poor,Large,Medium,Long,Many,Graduate,No,Rejected
High,Poor,Large,High,Medium,Few,Graduate,No,Rejected
Medium,Good,Small,Low,Short,Many,Not Graduate,No,Approved
High,Good,Large,High,Medium,Few,Not Graduate,Yes,Approved
Medium,Fair,Large,Medium,Long,Few,Graduate,Yes,Approved
Medium,Excellent,Large,Medium,Medium,Many,Not Graduate,No,Approved
Medium,Poor,Medium,Low,Long,Few,Not Graduate,No,Rejected
High,Excellent,Large,High,Long,Many,Graduate,Yes,Approved
High,Poor,Medium,High,Long,Few,Graduate,No,Rejected
Medium,Excellent,Medium,Medium,Long,Many,Not Graduate,Yes,Approved
High,Poor,Medium,High,Long,Few,Not Graduate,No,Rejected
